caseid,time,activity
1,75,arrival
1,75,join_queue
1,75,begin_service
1,353,end_service
2,482,arrival
2,482,join_queue
2,482,begin_service
2,568,end_service
3,1093,arrival
3,1093,join_queue
3,1093,begin_service
4,1136,arrival
4,1136,join_queue
4,1136,begin_service
3,1167,end_service
5,1198,arrival
5,1198,join_queue
5,1198,begin_service
5,1258,end_service
4,1436,end_service
6,1482,arrival
6,1482,join_queue
6,1482,begin_service
6,1542,end_service
7,1550,arrival
7,1550,join_queue
7,1550,begin_service
7,1610,end_service
8,1697,arrival
8,1697,join_queue
8,1697,begin_service
8,1851,end_service
9,2421,arrival
9,2421,join_queue
9,2421,begin_service
9,2667,end_service
10,2911,arrival
10,2911,join_queue
10,2911,begin_service
10,3083,end_service
11,3534,arrival
11,3534,join_queue
11,3534,renege
12,3559,arrival
12,3559,join_queue
12,3559,renege
13,3817,arrival
13,3817,join_queue
13,3817,begin_service
13,4023,end_service
14,4829,arrival
14,4829,join_queue
14,4829,renege
15,5296,arrival
15,5296,join_queue
15,5296,begin_service
15,5432,end_service
16,5614,arrival
16,5614,join_queue
16,5614,begin_service
16,5914,end_service
17,5956,arrival
17,5956,join_queue
17,5956,begin_service
17,6016,end_service
18,6367,arrival
18,6367,join_queue
18,6367,renege
19,7249,arrival
19,7249,join_queue
19,7249,begin_service
19,7309,end_service
20,8116,arrival
20,8116,join_queue
20,8116,begin_service
20,8274,end_service
21,8524,arrival
21,8524,join_queue
21,8524,begin_service
21,8584,end_service
22,8994,arrival
22,8994,join_queue
22,8994,renege
23,9686,arrival
23,9686,join_queue
23,9686,renege
24,10267,arrival
24,10267,join_queue
24,10267,begin_service
25,10392,arrival
25,10392,join_queue
25,10392,begin_service
25,10470,end_service
24,10567,end_service
26,10631,arrival
26,10631,join_queue
26,10631,begin_service
26,10777,end_service
27,11110,arrival
27,11110,join_queue
27,11110,renege
28,11829,arrival
28,11829,join_queue
28,11829,begin_service
29,11880,arrival
29,11880,join_queue
29,11880,begin_service
28,11889,end_service
29,11993,end_service
30,12931,arrival
30,12931,join_queue
30,12931,begin_service
30,13034,end_service
31,13503,arrival
31,13503,join_queue
31,13503,renege
32,13623,arrival
32,13623,join_queue
32,13623,begin_service
32,13683,end_service
