caseid,time,activity
1,11,arrival
1,11,join_queue
1,11,begin_service
2,69,arrival
2,69,join_queue
2,69,begin_service
3,156,arrival
3,156,join_queue
4,162,arrival
4,162,join_queue
5,199,arrival
5,199,join_queue
6,208,arrival
6,208,join_queue
2,242,end_service
3,242,begin_service
7,386,arrival
7,386,join_queue
8,398,arrival
8,398,join_queue
3,404,end_service
4,404,begin_service
9,408,arrival
9,408,join_queue
10,429,arrival
10,429,join_queue
11,438,arrival
11,438,balk
4,477,end_service
5,477,begin_service
1,491,end_service
6,491,begin_service
12,541,arrival
12,541,join_queue
13,664,arrival
13,664,join_queue
14,753,arrival
14,753,balk
6,771,end_service
7,771,begin_service
5,784,end_service
8,784,begin_service
7,831,end_service
9,831,begin_service
15,839,arrival
15,839,join_queue
8,931,end_service
10,931,begin_service
16,942,arrival
16,942,join_queue
17,987,arrival
17,987,join_queue
18,1055,arrival
18,1055,join_queue
19,1104,arrival
19,1104,balk
10,1198,end_service
12,1198,begin_service
20,1261,arrival
20,1261,join_queue
21,1272,arrival
21,1272,balk
9,1311,end_service
13,1311,begin_service
22,1398,arrival
22,1398,join_queue
23,1424,arrival
23,1424,balk
12,1433,end_service
15,1433,begin_service
24,1482,arrival
24,1482,join_queue
25,1549,arrival
25,1549,balk
26,1569,arrival
26,1569,balk
27,1668,arrival
27,1668,balk
15,1749,end_service
16,1749,begin_service
28,1751,arrival
28,1751,join_queue
13,1791,end_service
17,1791,begin_service
16,1821,end_service
18,1821,renege
20,1821,begin_service
17,1928,end_service
22,1928,begin_service
20,1976,end_service
24,1976,renege
28,1976,renege
22,2202,end_service
29,2227,arrival
29,2227,join_queue
29,2227,begin_service
30,2300,arrival
30,2300,join_queue
30,2300,begin_service
31,2307,arrival
31,2307,join_queue
30,2360,end_service
31,2360,begin_service
32,2457,arrival
32,2457,join_queue
33,2539,arrival
33,2539,join_queue
31,2586,end_service
32,2586,renege
33,2586,renege
34,2590,arrival
34,2590,join_queue
34,2590,begin_service
35,2607,arrival
35,2607,join_queue
36,2615,arrival
36,2615,join_queue
29,2638,end_service
35,2638,renege
36,2638,renege
37,2682,arrival
37,2682,join_queue
37,2682,renege
38,2686,arrival
38,2686,join_queue
38,2686,begin_service
39,2724,arrival
39,2724,join_queue
40,2748,arrival
40,2748,join_queue
41,2774,arrival
41,2774,join_queue
42,2810,arrival
42,2810,join_queue
43,2851,arrival
43,2851,join_queue
44,2897,arrival
44,2897,join_queue
45,2943,arrival
45,2943,balk
46,3068,arrival
46,3068,balk
34,3070,end_service
39,3070,begin_service
47,3085,arrival
47,3085,join_queue
38,3099,end_service
40,3099,begin_service
48,3196,arrival
48,3196,join_queue
40,3206,end_service
41,3206,renege
42,3206,begin_service
49,3217,arrival
49,3217,join_queue
50,3221,arrival
50,3221,join_queue
42,3317,end_service
43,3317,begin_service
51,3369,arrival
51,3369,join_queue
43,3385,end_service
44,3385,begin_service
52,3412,arrival
52,3412,join_queue
53,3430,arrival
53,3430,balk
54,3535,arrival
54,3535,balk
44,3542,end_service
47,3542,renege
48,3542,begin_service
39,3550,end_service
49,3550,begin_service
55,3569,arrival
55,3569,join_queue
49,3610,end_service
50,3610,begin_service
56,3631,arrival
56,3631,join_queue
57,3677,arrival
57,3677,join_queue
58,3758,arrival
58,3758,join_queue
50,3789,end_service
51,3789,begin_service
59,3797,arrival
59,3797,join_queue
60,3918,arrival
60,3918,balk
61,3936,arrival
61,3936,balk
62,4001,arrival
62,4001,balk
63,4003,arrival
63,4003,balk
48,4022,end_service
52,4022,begin_service
64,4076,arrival
64,4076,join_queue
65,4131,arrival
65,4131,balk
52,4201,end_service
55,4201,renege
56,4201,begin_service
66,4211,arrival
66,4211,join_queue
67,4217,arrival
67,4217,join_queue
68,4233,arrival
68,4233,balk
69,4252,arrival
69,4252,balk
51,4269,end_service
57,4269,renege
58,4269,renege
59,4269,renege
64,4269,renege
66,4269,begin_service
56,4293,end_service
67,4293,renege
66,4329,end_service
70,4461,arrival
70,4461,join_queue
70,4461,begin_service
71,4530,arrival
71,4530,join_queue
71,4530,begin_service
70,4575,end_service
72,4585,arrival
72,4585,join_queue
72,4585,begin_service
73,4587,arrival
73,4587,join_queue
71,4590,end_service
73,4590,renege
74,4608,arrival
74,4608,join_queue
74,4608,begin_service
72,4645,end_service
75,4697,arrival
75,4697,join_queue
75,4697,renege
76,4812,arrival
76,4812,join_queue
76,4812,begin_service
76,4884,end_service
77,4937,arrival
77,4937,join_queue
77,4937,begin_service
78,5049,arrival
