caseid,time,activity
1,54,arrival
1,54,join_queue
1,54,begin_service
1,332,end_service
2,345,arrival
2,345,join_queue
2,345,begin_service
2,431,end_service
3,781,arrival
3,781,join_queue
3,781,begin_service
4,811,arrival
4,811,join_queue
4,811,renege
3,855,end_service
5,855,arrival
5,855,join_queue
5,855,begin_service
5,936,end_service
6,1747,arrival
6,1747,join_queue
6,1747,renege
7,1806,arrival
7,1806,join_queue
7,1806,begin_service
8,1854,arrival
8,1854,join_queue
8,1854,begin_service
7,1866,end_service
8,1914,end_service
9,1959,arrival
9,1959,join_queue
9,1959,renege
10,2476,arrival
10,2476,join_queue
10,2476,begin_service
10,2616,end_service
11,2860,arrival
11,2860,join_queue
11,2860,renege
12,3475,arrival
12,3475,join_queue
12,3475,begin_service
12,3647,end_service
13,3920,arrival
13,3920,join_queue
13,3920,begin_service
14,3938,arrival
14,3938,join_queue
14,3938,begin_service
13,3994,end_service
14,4144,end_service
15,4661,arrival
15,4661,join_queue
15,4661,begin_service
15,4752,end_service
16,4994,arrival
16,4994,join_queue
16,4994,begin_service
16,5092,end_service
17,5335,arrival
17,5335,join_queue
17,5335,renege
18,6122,arrival
18,6122,join_queue
18,6122,begin_service
18,6182,end_service
19,6416,arrival
19,6416,join_queue
19,6416,begin_service
19,6664,end_service
20,7046,arrival
20,7046,join_queue
20,7046,begin_service
20,7163,end_service
21,7178,arrival
21,7178,join_queue
21,7178,begin_service
21,7312,end_service
22,7573,arrival
22,7573,join_queue
22,7573,begin_service
23,7675,arrival
23,7675,join_queue
23,7675,begin_service
23,7735,end_service
22,7771,end_service
24,8090,arrival
24,8090,join_queue
24,8090,begin_service
24,8158,end_service
25,10470,arrival
25,10470,join_queue
25,10470,begin_service
25,10607,end_service
26,10664,arrival
26,10664,join_queue
26,10664,renege
27,11029,arrival
27,11029,join_queue
27,11029,begin_service
27,11089,end_service
28,11543,arrival
28,11543,join_queue
28,11543,begin_service
29,11571,arrival
29,11571,join_queue
29,11571,begin_service
29,11734,end_service
28,11843,end_service
30,11854,arrival
30,11854,join_queue
30,11854,renege
31,12111,arrival
31,12111,join_queue
31,12111,begin_service
32,12197,arrival
32,12197,join_queue
32,12197,renege
33,12238,arrival
33,12238,join_queue
33,12238,begin_service
33,12298,end_service
31,12411,end_service
34,12571,arrival
34,12571,join_queue
34,12571,renege
35,12761,arrival
35,12761,join_queue
35,12761,renege
36,13277,arrival
36,13277,join_queue
36,13277,renege
37,13398,arrival
37,13398,join_queue
37,13398,begin_service
37,13469,end_service
38,13529,arrival
38,13529,join_queue
38,13529,begin_service
38,13622,end_service
39,13734,arrival
39,13734,join_queue
39,13734,begin_service
40,13962,arrival
40,13962,join_queue
40,13962,renege
39,13984,end_service
41,14046,arrival
41,14046,join_queue
41,14046,renege
