caseid,time,activity
1,54,arrival
1,54,join_queue
1,54,begin_service
1,332,end_service
2,345,arrival
2,345,join_queue
2,345,begin_service
2,431,end_service
3,781,arrival
3,781,join_queue
3,781,begin_service
4,811,arrival
4,811,join_queue
4,811,begin_service
3,855,end_service
5,855,arrival
5,855,join_queue
5,855,begin_service
5,915,end_service
6,1058,arrival
6,1058,join_queue
6,1058,begin_service
7,1106,arrival
7,1106,join_queue
4,1111,end_service
7,1111,begin_service
6,1118,end_service
7,1171,end_service
8,1211,arrival
8,1211,join_queue
8,1211,begin_service
8,1365,end_service
9,1728,arrival
9,1728,join_queue
9,1728,renege
10,2078,arrival
10,2078,join_queue
10,2078,begin_service
10,2256,end_service
11,2693,arrival
11,2693,join_queue
11,2693,renege
12,3124,arrival
12,3124,join_queue
12,3124,renege
13,3142,arrival
13,3142,join_queue
13,3142,begin_service
14,3326,arrival
14,3326,join_queue
14,3326,begin_service
13,3431,end_service
14,3459,end_service
15,3842,arrival
15,3842,join_queue
15,3842,begin_service
15,3978,end_service
16,4069,arrival
16,4069,join_queue
16,4069,begin_service
17,4314,arrival
17,4314,join_queue
17,4314,begin_service
16,4369,end_service
17,4374,end_service
18,4608,arrival
18,4608,join_queue
18,4608,renege
19,5238,arrival
19,5238,join_queue
19,5238,begin_service
19,5298,end_service
20,5857,arrival
20,5857,join_queue
20,5857,begin_service
20,6015,end_service
21,6149,arrival
21,6149,join_queue
21,6149,renege
22,6485,arrival
22,6485,join_queue
22,6485,renege
23,6587,arrival
23,6587,join_queue
23,6587,begin_service
23,6753,end_service
24,7082,arrival
24,7082,join_queue
24,7082,begin_service
25,7172,arrival
25,7172,join_queue
25,7172,begin_service
25,7250,end_service
26,7343,arrival
26,7343,join_queue
26,7343,begin_service
24,7382,end_service
26,7489,end_service
27,7685,arrival
27,7685,join_queue
27,7685,begin_service
27,7745,end_service
28,8199,arrival
28,8199,join_queue
28,8199,renege
29,8227,arrival
29,8227,join_queue
29,8227,begin_service
29,8340,end_service
30,8978,arrival
30,8978,join_queue
30,8978,renege
31,9387,arrival
31,9387,join_queue
31,9387,begin_service
31,9447,end_service
32,9644,arrival
32,9644,join_queue
32,9644,renege
33,10473,arrival
33,10473,join_queue
33,10473,begin_service
34,10514,arrival
34,10514,join_queue
34,10514,begin_service
35,10536,arrival
35,10536,join_queue
34,10590,end_service
35,10590,begin_service
33,10606,end_service
35,10650,end_service
36,11052,arrival
36,11052,join_queue
36,11052,renege
37,11183,arrival
37,11183,join_queue
37,11183,renege
38,11361,arrival
38,11361,join_queue
38,11361,begin_service
38,11454,end_service
39,11566,arrival
39,11566,join_queue
39,11566,renege
40,11794,arrival
40,11794,join_queue
40,11794,begin_service
40,11854,end_service
41,12420,arrival
41,12420,join_queue
41,12420,renege
42,13590,arrival
42,13590,join_queue
42,13590,begin_service
42,13650,end_service
43,14145,arrival
43,14145,join_queue
43,14145,begin_service
43,14205,end_service
44,14249,arrival
44,14249,join_queue
44,14249,renege
45,14269,arrival
45,14269,join_queue
45,14269,begin_service
45,14329,end_service
