caseid,time,activity
1,11,arrival
1,11,join_queue
1,11,begin_service
2,69,arrival
2,69,join_queue
2,69,begin_service
3,156,arrival
3,156,join_queue
3,156,begin_service
4,162,arrival
4,162,join_queue
5,171,arrival
5,171,join_queue
2,242,end_service
4,242,begin_service
3,304,end_service
5,304,begin_service
6,349,arrival
6,349,join_queue
7,359,arrival
7,359,join_queue
5,364,end_service
6,364,begin_service
8,377,arrival
8,377,join_queue
9,386,arrival
9,386,join_queue
4,404,end_service
7,404,begin_service
6,448,end_service
8,448,begin_service
10,489,arrival
10,489,join_queue
1,491,end_service
9,491,begin_service
11,612,arrival
11,612,join_queue
12,698,arrival
12,698,join_queue
13,702,arrival
13,702,join_queue
7,711,end_service
10,711,begin_service
8,728,end_service
11,728,begin_service
14,739,arrival
14,739,join_queue
15,806,arrival
15,806,join_queue
9,847,end_service
12,847,begin_service
16,851,arrival
16,851,join_queue
17,900,arrival
17,900,join_queue
18,1057,arrival
18,1057,join_queue
19,1116,arrival
19,1116,balk
12,1120,end_service
13,1120,begin_service
20,1127,arrival
20,1127,join_queue
11,1141,end_service
14,1141,begin_service
10,1191,end_service
15,1191,begin_service
14,1247,end_service
16,1247,begin_service
21,1251,arrival
21,1251,join_queue
22,1318,arrival
22,1318,join_queue
23,1338,arrival
23,1338,join_queue
15,1424,end_service
17,1424,begin_service
24,1437,arrival
24,1437,join_queue
25,1455,arrival
25,1455,balk
16,1563,end_service
18,1563,begin_service
13,1600,end_service
20,1600,begin_service
18,1700,end_service
21,1700,begin_service
20,1755,end_service
22,1755,renege
23,1755,begin_service
17,1756,end_service
24,1756,renege
26,1931,arrival
26,1931,join_queue
26,1931,renege
21,1974,end_service
27,2034,arrival
27,2034,join_queue
27,2034,begin_service
28,2041,arrival
28,2041,join_queue
28,2041,renege
23,2047,end_service
27,2094,end_service
29,2191,arrival
29,2191,join_queue
29,2191,begin_service
30,2248,arrival
30,2248,join_queue
30,2248,renege
31,2299,arrival
31,2299,join_queue
31,2299,renege
32,2316,arrival
32,2316,join_queue
32,2316,begin_service
32,2376,end_service
33,2482,arrival
33,2482,join_queue
33,2482,begin_service
29,2518,end_service
33,2542,end_service
34,2549,arrival
34,2549,join_queue
34,2549,renege
35,2587,arrival
35,2587,join_queue
35,2587,begin_service
35,2684,end_service
36,2690,arrival
36,2690,join_queue
36,2690,begin_service
37,2716,arrival
37,2716,join_queue
37,2716,begin_service
38,2757,arrival
38,2757,join_queue
38,2757,begin_service
39,2803,arrival
39,2803,join_queue
40,2820,arrival
40,2820,join_queue
36,2832,end_service
39,2832,begin_service
37,2901,end_service
40,2901,begin_service
40,3008,end_service
41,3054,arrival
41,3054,join_queue
41,3054,begin_service
42,3075,arrival
42,3075,join_queue
43,3079,arrival
43,3079,join_queue
41,3165,end_service
42,3165,begin_service
44,3227,arrival
44,3227,join_queue
42,3233,end_service
43,3233,begin_service
38,3237,end_service
44,3237,renege
45,3270,arrival
45,3270,join_queue
45,3270,begin_service
39,3276,end_service
46,3288,arrival
46,3288,join_queue
46,3288,begin_service
47,3322,arrival
47,3322,join_queue
48,3324,arrival
48,3324,join_queue
49,3386,arrival
49,3386,join_queue
43,3390,end_service
47,3390,begin_service
50,3431,arrival
50,3431,join_queue
51,3512,arrival
51,3512,join_queue
52,3551,arrival
52,3551,join_queue
47,3573,end_service
48,3573,begin_service
53,3675,arrival
53,3675,join_queue
45,3691,end_service
49,3691,begin_service
54,3693,arrival
54,3693,join_queue
55,3695,arrival
55,3695,join_queue
46,3768,end_service
56,3768,arrival
56,3768,balk
50,3768,begin_service
57,3813,arrival
57,3813,join_queue
58,3893,arrival
58,3893,balk
59,3916,arrival
59,3916,balk
60,3922,arrival
60,3922,balk
61,3938,arrival
61,3938,balk
49,3950,end_service
51,3950,begin_service
62,3957,arrival
62,3957,join_queue
63,3961,arrival
63,3961,balk
50,3988,end_service
52,3988,begin_service
64,4030,arrival
64,4030,join_queue
48,4053,end_service
53,4053,renege
54,4053,renege
55,4053,begin_service
65,4085,arrival
65,4085,join_queue
66,4087,arrival
66,4087,join_queue
67,4087,arrival
67,4087,join_queue
52,4102,end_service
57,4102,begin_service
68,4108,arrival
68,4108,join_queue
55,4113,end_service
62,4113,renege
64,4113,begin_service
69,4237,arrival
69,4237,join_queue
70,4362,arrival
70,4362,join_queue
71,4380,arrival
71,4380,balk
51,4430,end_service
65,4430,renege
66,4430,begin_service
57,4459,end_service
67,4459,begin_service
72,4492,arrival
72,4492,join_queue
73,4547,arrival
