caseid,time,activity
1,75,arrival
1,75,join_queue
1,75,begin_service
1,353,end_service
2,482,arrival
2,482,join_queue
2,482,begin_service
2,568,end_service
3,1093,arrival
3,1093,join_queue
3,1093,renege
4,1136,arrival
4,1136,join_queue
4,1136,renege
5,1395,arrival
5,1395,join_queue
5,1395,begin_service
6,1457,arrival
6,1457,join_queue
5,1695,end_service
6,1695,begin_service
7,1741,arrival
7,1741,join_queue
6,1755,end_service
7,1755,begin_service
8,1809,arrival
8,1809,join_queue
7,1815,end_service
8,1815,begin_service
8,1875,end_service
9,1956,arrival
9,1956,join_queue
9,1956,begin_service
9,2110,end_service
10,2680,arrival
10,2680,join_queue
10,2680,begin_service
10,2926,end_service
11,3170,arrival
11,3170,join_queue
11,3170,begin_service
11,3342,end_service
12,3793,arrival
12,3793,join_queue
12,3793,renege
13,3818,arrival
13,3818,join_queue
13,3818,renege
14,4076,arrival
14,4076,join_queue
14,4076,begin_service
14,4282,end_service
15,5088,arrival
15,5088,join_queue
15,5088,begin_service
15,5179,end_service
16,5555,arrival
16,5555,join_queue
16,5555,begin_service
16,5653,end_service
17,6032,arrival
17,6032,join_queue
17,6032,renege
18,7134,arrival
18,7134,join_queue
18,7134,begin_service
18,7194,end_service
19,7545,arrival
19,7545,join_queue
19,7545,renege
20,8427,arrival
20,8427,join_queue
20,8427,renege
21,9294,arrival
21,9294,join_queue
21,9294,begin_service
21,9411,end_service
22,9479,arrival
22,9479,join_queue
22,9479,begin_service
22,9613,end_service
23,10032,arrival
23,10032,join_queue
23,10032,renege
24,10175,arrival
24,10175,join_queue
24,10175,renege
25,10867,arrival
25,10867,join_queue
25,10867,begin_service
25,10927,end_service
26,11448,arrival
26,11448,join_queue
26,11448,begin_service
26,11516,end_service
